userid,age,gender,shopid,avg_rating,avg_price,clicked
15,77,M,276,0,2,1
15,34,F,256,3,2,0
15,15,M,218,0,2,1
15,27,F,447,1,2,1
15,36,M,498,4,3,1
15,77,F,441,1,4,1
15,34,F,429,0,3,1
15,60,F,433,3,4,0
15,53,F,445,1,4,1
15,10,F,442,2,4,1
15,17,F,256,0,2,0
15,20,M,310,1,2,1
15,34,M,311,4,1,0
16,19,M,236,2,4,1
16,58,M,217,2,2,0
16,46,M,493,1,2,0
16,34,M,145,0,4,0
16,52,M,459,2,4,0
16,42,F,441,0,3,0
16,32,M,446,4,2,1
16,38,F,379,3,4,0
16,78,F,286,4,4,1
16,77,F,417,0,2,0
16,34,F,354,2,2,0
17,40,M,443,3,3,1
17,72,M,114,3,3,1
17,10,F,187,2,4,0
17,72,F,368,2,3,0
17,43,F,266,1,3,1
17,56,F,386,3,4,1
17,62,F,225,2,4,1
17,73,F,382,1,3,0
18,30,M,361,3,4,0
18,13,M,189,3,3,1
18,32,F,301,1,2,0
18,12,F,278,2,2,1
18,43,M,206,0,3,1
18,62,F,163,1,2,0
18,61,M,181,0,4,1
18,34,M,347,3,4,0
18,47,F,169,4,4,0
18,71,F,123,3,2,1
18,40,M,438,4,4,0
18,60,M,153,1,4,1
18,40,M,237,4,1,1
18,11,F,246,4,1,0
18,61,F,277,4,2,1
18,75,F,285,2,2,0
18,17,M,239,0,4,1
19,41,M,206,3,4,0
19,69,F,419,2,3,1
19,37,M,394,4,2,0
19,44,F,389,0,3,0
19,43,F,292,4,3,0
19,26,M,416,1,3,0
19,57,F,433,1,4,1
20,75,M,296,1,2,0
20,63,F,200,0,1,0
20,36,F,154,1,4,0
20,57,F,314,2,2,0
20,63,M,423,2,1,1
20,32,F,380,4,3,1
20,14,M,482,4,4,0
20,75,F,255,2,4,1
20,60,M,143,1,4,1
20,60,M,433,3,4,0
20,79,F,337,3,2,1
20,57,M,218,2,2,0
20,26,M,142,2,2,1
20,32,M,277,3,4,1
20,44,M,350,3,4,0
20,20,F,411,1,2,0
20,44,F,338,3,4,0
24,23,F,245,2,2,0
24,27,M,351,2,4,0
24,77,M,230,4,4,1
24,41,F,167,1,3,0
24,55,M,351,1,4,0
24,17,F,198,4,4,0
24,30,F,157,1,4,0
24,36,M,393,2,2,0
25,70,F,270,3,2,0
25,66,M,315,0,4,1
25,60,M,175,3,3,0
25,73,M,226,1,2,0
25,11,F,303,2,3,1
25,14,F,438,3,2,0
25,70,F,209,3,3,1
25,69,F,214,3,4,1
26,17,F,210,1,2,0
26,44,F,198,3,4,0
26,73,M,367,3,4,1
26,28,F,193,4,2,0
26,24,F,130,0,3,1
26,75,M,258,2,4,0
26,49,M,382,4,3,1
26,60,M,245,2,3,0
26,14,M,157,2,4,1
27,44,M,214,2,4,1
27,41,M,497,3,3,0
27,29,F,103,1,3,0
27,15,M,138,1,4,1
27,72,F,324,1,2,0
27,61,F,239,4,3,1
27,13,M,252,2,3,1
27,47,M,338,2,2,1
27,51,F,247,1,2,1
27,57,M,417,2,4,1
27,67,M,316,0,4,0
27,33,F,107,2,3,0
27,70,M,211,0,4,0
27,48,M,480,1,2,1
27,52,F,104,3,4,0
27,70,M,356,4,4,0
28,49,F,385,3,4,0
28,35,M,317,3,4,0
28,44,M,319,1,3,0
28,50,M,386,0,1,1
28,65,M,104,4,2,0
28,65,F,161,3,4,1
28,16,F,185,4,4,0
29,39,M,186,3,4,0
29,46,M,158,1,2,1
29,13,F,267,4,3,1
29,43,F,351,1,4,0
29,29,M,309,4,4,0
29,78,F,438,1,4,1
29,42,M,305,3,1,1
29,38,M,397,1,4,0
29,49,F,393,3,2,0
29,73,F,448,4,4,0
29,40,M,450,2,2,1
30,62,M,194,0,4,1
30,71,M,178,1,4,0
30,29,F,412,0,3,1
30,52,F,357,2,3,0
30,78,F,467,1,3,1
30,21,F,293,1,4,1
31,55,M,102,0,3,1
31,19,F,135,4,4,1
31,23,F,285,2,2,0
31,21,M,158,3,4,1
31,40,M,178,0,3,0
31,31,M,334,4,2,0
32,64,F,448,1,3,0
32,49,F,131,3,4,0
32,19,F,487,4,2,0
32,60,F,247,0,2,0
32,75,M,278,0,4,1
32,54,M,152,2,3,1
32,12,F,252,3,2,1
32,57,F,276,2,2,1
32,45,F,372,1,2,0
32,59,F,276,2,3,0
32,73,F,487,3,3,1
33,45,M,479,0,3,0
33,11,F,492,1,4,0
33,49,F,160,1,2,1
33,12,F,220,2,3,0
33,51,M,215,2,3,0
33,64,M,474,3,2,0
33,52,M,498,0,4,1
33,11,F,362,0,3,1
33,12,M,293,3,4,1
33,20,F,178,3,4,1
33,40,M,355,0,3,1
33,53,M,329,1,3,1
33,36,F,310,1,3,0
33,47,M,258,3,3,1
33,76,F,124,0,4,0
33,65,M,239,1,2,0
33,16,F,446,1,2,1
33,14,M,228,4,1,1
36,53,M,268,2,1,1
36,22,F,117,2,4,0
36,52,M,492,2,3,1
36,38,M,103,4,2,0
36,70,F,417,3,4,1
36,28,F,462,4,4,0
36,71,M,469,1,4,0
36,78,F,427,2,4,0
36,23,F,313,4,4,0
36,42,M,395,3,2,0
36,69,M,119,1,4,0
36,43,F,122,3,2,1
36,17,F,211,2,4,1
36,42,M,419,3,4,1
36,69,F,208,3,4,0
36,44,F,402,1,4,0
36,38,M,398,2,4,1
37,46,M,304,0,2,1
37,63,F,342,4,3,1
37,33,M,178,3,1,0
37,57,M,228,2,3,1
37,60,F,178,0,2,0
37,54,F,436,4,2,0
37,56,F,212,2,1,1
37,29,M,282,1,4,1
37,59,F,384,0,4,0
37,54,F,415,2,4,1
37,75,M,422,2,3,0
37,55,M,357,2,1,1
37,16,M,210,1,2,0
39,13,F,167,0,2,1
39,64,M,133,0,2,0
39,34,M,220,4,4,1
39,42,M,319,2,2,0
39,21,F,208,0,3,0
39,72,F,209,3,4,1
39,46,F,139,2,4,1
39,33,F,165,2,2,1
39,65,F,482,1,3,1
39,10,F,285,1,2,0
40,78,F,404,2,4,1
40,46,M,301,1,2,1
40,78,F,440,0,4,1
40,50,F,200,4,2,0
40,42,F,247,0,3,1
40,53,M,385,4,2,0
40,60,M,468,3,2,0
40,48,F,412,4,2,0
40,65,F,387,3,4,1
40,22,F,418,2,1,0
40,16,F,427,3,2,0
40,46,F,245,3,2,1
40,61,M,426,2,4,0
41,61,M,263,4,4,1
41,18,M,129,2,4,1
41,17,F,417,2,2,0
41,58,M,110,1,2,1
41,37,M,282,1,3,0
41,78,M,291,3,2,0
41,64,M,311,4,3,0
41,65,F,453,2,4,0
41,19,F,230,2,4,0
41,62,F,313,4,3,1
41,74,M,183,1,2,1
41,40,M,366,4,4,0
41,44,F,244,0,3,1
41,38,M,218,1,4,0
41,76,M,255,2,2,1
41,49,M,239,2,2,0
42,62,M,286,1,4,1
42,68,M,245,1,3,1
42,54,F,445,2,2,1
42,24,M,273,4,3,1
42,29,F,443,1,4,0
42,41,M,368,0,4,0
42,18,F,205,4,2,1
42,73,F,293,2,4,0
42,46,M,122,3,3,0
42,77,F,420,2,2,1
42,74,M,455,2,4,1
42,58,M,282,3,3,1
42,61,M,430,0,1,0
42,45,F,170,4,2,1
43,15,F,462,1,4,1
43,47,M,404,4,4,0
43,37,F,298,3,2,0
43,72,M,455,3,3,0
43,69,F,362,2,2,1
43,35,M,252,3,4,0
43,63,F,472,1,2,1
43,15,F,212,3,4,0
43,57,F,418,3,2,0
45,66,M,167,4,4,0
45,48,M,158,2,2,0
45,28,F,338,1,2,1
45,67,F,335,0,3,0
45,55,M,305,3,2,0
45,35,M,323,3,3,0
45,63,F,497,1,4,1
45,65,F,341,4,2,0
45,64,F,215,4,4,0
45,18,F,249,0,4,0
45,28,M,397,3,3,0
45,56,F,166,2,2,0
45,67,M,343,2,4,0
47,70,F,305,3,3,1
47,69,M,392,2,2,0
47,12,F,167,2,2,1
47,62,F,264,1,4,1
47,15,F,320,2,1,0
47,32,F,364,1,3,1
48,17,F,202,4,4,1
48,78,M,216,0,3,0
48,47,F,288,2,3,0
48,65,M,156,2,4,1
48,28,M,233,1,3,0
48,55,F,371,4,4,1
48,70,M,160,4,3,1
50,24,M,270,4,4,0
50,16,M,295,3,4,0
50,47,M,288,4,3,1
50,78,M,246,0,4,1
50,56,M,150,1,2,0
50,24,F,270,4,2,0
51,22,M,318,1,2,1
51,49,F,311,0,2,1
51,71,M,214,2,1,0
51,59,M,107,0,4,0
51,36,M,332,3,3,1
51,76,F,296,1,1,1
51,54,M,335,4,2,1
51,22,F,208,0,2,0
51,44,F,288,3,4,1
51,13,M,113,4,3,1
51,69,F,254,3,4,1
51,37,M,402,1,2,1
51,45,F,383,0,2,1
51,72,F,249,1,4,1
51,61,M,253,3,3,0
51,54,M,359,2,3,0
51,54,M,298,3,3,1
51,18,M,241,1,4,0
51,58,M,290,4,2,0
52,59,F,217,3,4,0
52,63,M,326,1,4,1
52,37,M,196,2,2,0
52,25,M,444,3,2,0
52,25,F,111,4,2,0
52,42,F,200,1,4,1
52,49,M,455,4,2,0
53,40,F,206,2,4,1
53,33,M,253,1,2,0
53,58,M,325,2,3,1
53,76,F,479,0,4,0
53,30,M,456,4,2,0
53,11,M,132,3,3,1
53,61,M,155,0,3,0
53,16,F,313,1,2,1
53,57,M,462,4,3,0
53,18,F,238,2,3,0
53,37,F,460,1,4,0
53,57,M,457,3,2,0
53,23,M,495,2,2,0
53,63,M,392,4,4,1
53,64,F,354,3,4,1
53,70,F,498,1,2,1
53,57,F,325,2,2,0
53,34,F,456,3,4,1
53,46,M,455,4,4,1
54,16,M,392,1,4,1
54,57,M,260,2,4,1
54,12,M,277,3,4,1
54,16,F,103,0,4,0
54,31,M,498,2,4,0
54,43,F,319,1,2,0
54,33,F,121,0,2,1
54,71,M,301,0,2,1
54,47,F,415,2,2,0
54,52,F,143,1,4,0
54,29,M,373,3,2,1
54,53,F,450,2,4,1
55,73,M,428,0,4,1
55,22,F,179,3,1,1
55,17,M,131,3,4,1
55,60,F,153,4,2,0
55,10,F,203,1,2,0
55,66,M,303,2,2,0
55,75,M,206,0,4,1
55,48,M,204,2,4,0
55,15,F,250,4,1,1
55,34,M,137,0,2,1
55,43,M,482,1,4,1
55,16,F,295,4,2,1
55,64,F,395,0,4,0
55,67,M,141,0,2,1
55,20,M,426,4,4,1
55,12,M,253,4,2,1
55,65,F,392,0,4,1
55,29,M,290,0,3,1
56,11,M,163,0,2,1
56,50,M,297,3,4,0
56,67,M,156,3,4,1
56,12,F,365,1,4,1
56,10,M,149,1,4,0
56,21,M,258,2,2,1
56,66,M,177,0,3,1
56,58,M,229,0,4,1
56,33,F,309,4,4,1
56,20,F,334,3,3,1
56,76,F,159,0,3,1
56,54,M,190,1,4,1
56,79,F,111,3,3,1
56,57,F,453,0,3,1
57,46,F,122,4,2,0
57,20,M,284,3,2,0
57,13,F,495,0,3,0
57,10,F,353,2,4,1
57,41,M,287,4,3,1
57,52,M,224,0,4,0
57,67,M,254,3,4,1
57,41,F,351,4,4,1
57,48,M,365,2,4,0
57,58,F,379,3,3,0
57,57,M,185,0,3,1
57,27,M,308,3,3,1
57,78,M,160,2,4,1
57,61,F,377,4,2,1
57,11,M,224,2,4,0
57,52,F,252,4,4,1
57,68,M,222,0,2,1
58,57,M,394,3,4,1
58,18,F,269,3,3,0
58,24,F,317,2,4,1
58,14,M,425,0,2,1
58,43,F,365,0,3,1
58,78,M,376,0,3,0
58,62,F,288,3,4,0
58,29,M,490,0,4,0
58,39,F,266,3,4,0
58,52,F,152,3,2,1
58,56,F,319,2,4,1
58,39,M,277,2,2,0
58,58,M,415,3,4,0
58,73,F,131,3,4,0
58,64,M,176,2,3,1
58,10,M,321,0,4,1
60,69,M,418,3,1,0
60,27,M,219,3,1,1
60,54,F,377,2,4,1
60,42,M,346,4,4,0
60,79,M,304,4,4,1
60,63,M,121,3,2,1
60,16,F,120,2,4,1
60,61,F,164,1,1,0
60,19,F,123,3,2,0
60,26,M,423,1,2,1
60,33,F,317,4,3,1
61,47,M,395,2,4,1
61,39,F,320,1,4,1
61,69,M,236,1,3,0
61,68,F,126,2,4,1
61,21,F,291,1,2,1
61,77,F,418,2,4,0
62,20,F,155,3,2,1
62,62,M,351,1,2,0
62,44,M,470,0,2,0
62,48,M,330,2,4,1
62,12,M,185,2,4,1
62,43,F,478,2,3,0
62,24,M,333,3,3,1
62,79,F,367,4,4,1
63,37,M,463,2,3,0
63,48,M,498,2,1,0
63,55,M,380,0,4,1
63,20,F,173,0,4,0
63,45,M,335,1,4,0
63,51,F,445,2,4,1
63,27,F,204,1,4,1
63,53,F,434,0,2,1
63,43,M,176,0,4,1
63,66,F,114,4,1,0
63,56,F,418,4,3,1
63,11,F,147,2,3,1
63,79,M,212,2,2,1
63,66,M,471,3,2,1
63,51,M,428,0,4,0
63,16,M,127,1,2,0
64,57,F,290,4,4,0
64,16,M,466,1,4,0
64,25,F,193,2,4,1
64,63,M,278,1,4,1
64,55,M,234,3,3,1
64,11,F,446,2,4,1
64,48,F,231,3,2,0
64,15,F,401,1,2,0
64,56,M,235,1,3,0
64,32,M,203,1,2,1
64,61,F,112,4,4,1
64,78,M,272,1,4,0
64,26,F,271,4,2,1
64,38,F,317,1,4,1
64,42,M,255,0,2,1
64,61,M,410,0,2,0
65,64,M,404,0,3,0
65,21,M,285,4,3,1
65,45,F,281,4,3,0
65,48,F,408,3,3,0
65,18,M,117,0,3,1
65,17,F,385,3,4,1
65,21,F,435,3,2,0
67,10,F,211,1,2,1
67,26,F,464,3,2,0
67,17,M,405,0,4,1
67,42,F,149,2,3,0
67,10,M,307,0,2,0
67,56,F,475,1,4,1
67,46,F,475,4,4,0
67,77,M,300,1,2,0
67,55,M,120,1,4,0
67,44,M,106,0,2,1
67,68,M,364,1,3,1
67,37,F,456,3,4,1
67,32,F,204,4,1,0
67,57,M,131,4,4,1
68,67,F,125,0,3,1
68,69,F,401,3,3,1
68,71,F,247,2,4,0
68,60,M,323,4,4,0
68,15,F,161,2,3,1
68,50,F,351,3,3,0
68,63,F,153,4,4,1
70,50,F,328,0,2,0
70,44,M,218,4,4,0
70,40,F,454,0,3,1
70,39,F,443,3,3,0
70,22,F,490,3,4,0
70,57,M,192,2,4,1
70,34,F,346,3,1,0
70,60,F,222,0,4,0
70,73,M,481,3,2,1
70,74,F,466,4,4,0
70,68,F,382,3,4,1
70,53,M,499,2,4,1
70,75,M,153,3,2,0
70,55,M,163,3,4,0
70,29,F,240,2,3,0
70,56,F,211,0,2,1
70,40,F,112,1,4,1
70,71,F,166,2,3,0
70,59,M,287,1,4,0
72,70,M,422,1,4,1
72,23,F,483,0,3,0
72,12,F,125,1,4,0
72,65,F,434,3,2,0
72,70,F,206,1,4,1
72,35,F,130,0,4,0
72,34,F,299,4,4,0
72,47,F,145,0,4,1
72,41,M,267,1,2,0
73,37,M,441,1,3,1
73,47,M,270,3,3,1
73,11,F,433,1,2,1
73,37,F,204,2,4,0
73,64,M,463,2,4,0
73,48,M,306,4,2,0
73,62,F,182,0,2,1
73,33,F,154,3,2,1
73,61,F,105,4,1,0
73,76,M,232,1,3,1
73,61,M,423,3,4,1
73,28,M,276,2,3,1
73,33,M,324,3,3,0
73,79,M,215,2,4,1
73,52,M,469,4,3,1
73,79,F,270,0,4,0
74,62,M,104,2,1,0
74,68,M,200,0,4,1
74,24,F,486,0,4,0
74,11,M,307,1,2,1
74,25,M,253,0,2,1
74,34,F,459,3,4,0
74,68,F,344,0,4,1
74,26,F,488,4,4,0
74,40,F,288,0,2,1
74,64,F,204,1,3,0
74,14,F,388,0,3,1
74,62,M,396,0,4,0
74,64,F,293,3,2,0
74,59,M,140,4,2,0
74,10,M,254,4,3,0
74,71,F,233,1,4,0
74,30,F,273,4,2,0
74,25,F,272,0,3,1
75,25,M,290,3,4,0
75,17,F,440,1,4,1
75,58,M,453,3,4,1
75,29,M,343,4,3,1
75,79,F,147,0,3,0
75,76,F,181,2,2,0
77,11,F,393,3,2,1
77,70,F,206,4,1,0
77,53,M,212,0,4,1
77,77,M,303,0,4,0
77,71,M,499,1,4,0
77,59,F,455,3,2,0
77,48,F,446,3,4,0
77,26,M,322,2,4,0
78,39,F,153,0,1,0
78,61,F,162,1,4,1
78,46,F,122,3,3,0
78,56,M,348,3,3,0
78,62,F,299,2,3,1
78,45,M,484,2,2,0
78,18,M,231,0,2,0
78,75,F,269,1,4,1
78,62,F,463,3,2,1
78,10,M,497,4,4,0
78,34,M,455,3,4,1
78,23,M,483,2,4,0
79,41,M,330,2,2,1
79,25,M,479,0,3,1
79,19,M,479,0,2,0
79,48,F,434,1,4,0
79,57,F,464,0,4,0
79,73,M,473,4,2,1
79,12,M,425,2,2,0
79,16,M,394,1,2,0
79,76,M,230,4,2,1
79,18,M,188,0,2,1
79,31,M,305,0,4,0
79,34,M,289,4,4,1
79,73,M,150,4,3,0
79,23,F,500,0,1,0
79,29,M,464,4,4,1
79,41,M,139,0,4,1
79,20,F,210,1,4,0
82,54,F,241,0,4,0
82,19,F,425,2,4,0
82,65,F,403,2,2,1
82,69,F,198,3,4,0
82,12,F,433,4,4,1
82,32,F,399,2,2,0
82,17,M,310,4,2,1
82,76,M,273,2,3,1
82,49,F,167,1,2,1
82,15,F,287,2,4,0
82,16,M,112,3,4,1
83,34,F,275,2,2,1
83,65,M,371,3,4,0
83,52,F,275,2,2,1
83,65,M,176,1,4,0
83,12,F,403,4,4,0
83,71,M,391,2,3,1
83,20,F,276,0,2,1
83,20,F,354,2,2,1
83,46,F,365,3,2,0
83,37,F,270,2,4,1
85,59,F,302,0,4,0
85,12,M,365,2,3,1
85,53,M,207,0,3,1
85,59,F,141,2,4,1
85,60,F,483,4,2,1
85,75,F,249,3,2,0
86,36,F,201,3,2,0
86,14,M,395,2,4,0
86,54,M,323,2,2,1
86,29,F,342,4,4,1
86,62,F,230,1,3,0
86,15,F,311,1,4,0
86,69,M,449,3,2,0
86,22,M,170,2,4,0
87,79,F,452,1,4,1
87,53,F,350,0,4,1
87,57,F,375,3,2,1
87,79,M,142,3,2,1
87,23,F,348,1,2,1
87,38,F,113,4,2,1
87,30,F,325,1,4,1
91,41,M,292,4,4,1
91,17,M,323,2,2,0
91,41,F,170,1,3,1
91,72,M,255,4,2,0
91,43,F,162,3,2,0
91,77,M,210,1,3,1
91,46,F,244,4,1,0
91,43,F,157,4,3,0
91,27,F,428,3,4,1
92,52,M,103,1,4,0
92,67,M,473,4,3,1
92,33,M,175,0,4,0
92,41,F,308,0,2,0
92,71,M,303,3,2,0
92,61,F,336,0,4,1
92,59,F,373,3,2,1
92,61,M,392,2,2,0
92,26,M,171,2,2,1
92,39,F,192,3,2,1
92,71,M,108,2,2,1
92,72,F,139,0,4,1
92,58,M,311,3,3,1
92,65,M,330,4,3,0
92,49,F,492,4,4,1
92,28,M,287,4,2,0
93,27,F,144,3,2,0
93,73,M,164,0,3,1
93,62,F,459,4,3,1
93,39,F,448,0,1,1
93,51,F,145,0,3,1
93,11,F,172,0,3,1
93,17,F,236,3,4,1
93,37,M,288,1,4,0
93,40,F,443,2,3,1
93,28,F,416,1,4,1
93,29,F,233,1,2,0
93,75,F,455,4,2,1
93,11,F,139,3,4,1
93,62,F,193,3,2,0
93,67,F,326,0,4,0
93,48,F,258,3,2,0
93,64,M,251,2,4,1
93,69,F,486,2,4,1
94,27,M,170,4,3,0
94,67,F,125,1,3,1
94,64,F,432,2,2,0
94,62,F,461,3,4,1
94,30,F,327,1,4,0
94,16,F,496,2,4,1
94,18,M,119,4,3,0
94,13,M,452,4,4,0
94,67,F,164,1,2,1
94,66,F,312,4,2,0
94,56,F,145,4,4,1
94,32,F,288,1,1,1
94,21,F,370,4,4,1
94,37,M,405,2,2,1
94,46,F,159,0,2,1
94,76,M,473,3,4,1
95,26,M,371,0,2,0
95,69,M,159,4,4,0
95,13,M,220,1,3,0
95,51,M,488,2,2,0
95,65,M,153,3,3,0
95,57,F,489,0,4,0
95,53,M,200,0,4,0
99,63,M,196,0,2,0
99,78,F,143,1,4,1
99,65,F,364,0,3,0
99,52,F,396,2,2,0
99,57,F,378,0,2,0
99,10,F,249,0,4,0
99,34,M,255,1,4,1
99,38,M,458,3,3,0
99,66,M,491,4,2,0
99,47,F,473,1,3,1
99,61,M,281,0,3,0
99,41,F,231,4,4,0
99,43,M,117,3,1,1
99,14,F,205,1,2,0
99,62,M,491,2,3,1
99,41,M,445,0,3,0
99,12,M,142,0,4,0
99,35,F,426,1,4,1
99,66,F,417,2,2,0
100,52,M,399,2,3,1
100,13,F,180,4,4,0
100,76,F,256,3,1,1
100,22,M,313,1,2,0
100,41,F,380,2,2,1
100,20,F,447,3,2,0
100,55,M,203,1,4,1
100,52,F,195,3,2,0
100,43,M,118,3,2,0
100,48,M,113,1,2,0
100,48,F,470,0,3,0
100,11,F,398,3,1,1
100,77,M,372,4,4,1
100,44,M,434,4,2,1
100,30,M,144,2,3,0
101,68,M,394,2,4,0
101,50,M,414,0,3,1
101,44,F,282,4,2,0
101,57,F,333,4,3,1
101,79,F,310,1,4,0
101,46,F,435,0,4,0
101,54,F,114,0,4,1
101,23,M,182,2,2,1
101,52,M,135,4,4,1
101,73,M,460,4,3,1
102,53,F,426,2,1,1
102,33,M,228,1,4,0
102,11,F,183,0,2,0
102,63,M,211,4,1,0
102,26,F,459,3,4,1
102,35,M,146,0,3,1
104,52,F,462,3,3,1
104,70,F,370,3,4,1
104,57,F,486,2,2,1
104,16,F,171,1,3,0
104,70,F,258,1,4,0
104,76,M,170,4,2,0
104,59,F,163,1,2,1
106,46,F,325,4,4,1
106,49,F,463,1,4,0
106,13,F,401,1,2,0
106,18,M,204,0,3,1
106,12,M,336,4,4,1
106,68,M,159,1,2,0
106,48,M,410,4,2,1
106,25,M,288,4,3,1
106,46,M,236,2,3,0
106,21,M,476,1,3,1
106,52,M,488,3,2,0
106,67,M,334,4,2,0
106,51,F,215,2,2,1
107,46,M,166,2,4,1
107,65,M,372,0,2,1
107,34,M,480,3,4,0
107,74,F,431,0,3,0
107,28,M,144,4,2,0
107,48,F,228,3,3,1
107,48,M,254,3,3,1
108,27,F,385,4,1,1
108,48,M,143,2,4,0
108,61,F,492,3,2,0
108,54,F,109,3,3,0
108,14,M,365,4,2,0
108,38,F,137,1,2,1
108,69,M,439,4,3,1
108,38,F,334,4,4,0
109,22,M,480,4,2,0
109,25,F,369,4,3,0
109,63,F,453,0,4,1
109,17,M,216,2,2,0
109,23,M,308,1,1,0
109,71,M,308,2,3,0
109,58,M,393,3,2,0
109,43,M,409,4,4,0
109,15,M,306,2,4,0
109,59,F,404,2,1,1
109,75,M,199,0,4,1
109,73,M,265,1,4,0
109,45,F,327,3,3,1
109,72,M,375,2,2,1
110,17,M,347,2,4,1
110,64,F,217,4,4,1
110,74,F,165,4,4,0
110,28,F,454,3,2,1
110,44,M,344,4,3,1
110,36,F,280,4,3,0
110,41,F,144,3,4,1
110,79,M,407,4,4,1
110,76,M,121,4,4,1
110,40,F,270,0,4,1
110,38,M,319,3,2,1
112,53,F,177,0,2,0
112,59,M,179,2,3,0
112,13,M,211,1,4,0
112,72,F,143,3,2,0
112,71,F,259,4,4,1
112,58,M,242,2,3,1
112,73,M,179,3,2,0
112,76,M,171,1,3,1
112,69,M,373,0,4,0
112,37,F,151,1,1,1
112,23,F,453,1,2,1
112,11,M,135,1,3,0
112,53,M,160,2,2,1
112,53,F,305,3,3,1
112,65,F,178,4,1,1
112,69,M,237,4,4,1
112,44,F,269,1,2,0
112,59,F,208,1,4,0
115,50,F,277,0,4,0
115,78,F,474,0,4,1
115,34,M,355,4,4,0
115,17,M,308,2,4,0
115,21,F,129,2,4,0
115,15,M,316,1,4,0
115,31,F,452,1,2,0
115,34,F,317,3,4,1
115,28,M,117,1,4,0
115,12,M,226,3,4,1
115,25,F,482,0,4,0
115,72,F,126,2,4,1
117,45,M,444,0,3,0
117,36,M,148,0,3,0
117,46,F,355,3,4,1
117,41,F,387,1,4,1
117,66,F,166,1,2,0
117,61,F,264,2,4,1
117,42,F,342,0,4,1
117,23,F,156,2,4,0
117,29,M,164,1,1,0
118,50,F,245,1,4,0
118,59,F,460,3,3,0
118,27,M,113,1,2,1
118,46,F,483,0,4,1
118,16,F,307,2,4,0
118,12,F,104,0,2,0
122,62,M,263,2,2,1
122,43,F,235,1,4,0
122,58,F,239,4,4,1
122,71,M,227,4,4,1
122,28,M,303,2,4,0
122,62,F,145,3,2,1
122,46,M,359,2,3,0
123,54,M,321,0,4,1
123,22,M,187,4,4,1
123,11,F,283,3,3,1
123,65,M,398,1,2,0
